Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C21, C23, C3, C4, C5",C1206,7,100nF,C82601
"C10, C14, C6, C8",C1206,4,100nF,C24497
C11,C1206,1,47pF,C1916
"C12, C13, C16, C17",CAP-SMD_BD6.3-L6.6-W6.6-FD,4,22uF,C27783
C15,C1206,1,33pF,C1906
"C18, C2, C20, C22",C1206,4,1uF,C1848
"C7, C9",C1206,2,10uF,C13585
D1,DIO-BG-TH_W10M,1,W10M,C2983251
D2,SMAF_L3.5-W2.6-LS4.7-RD,1,US1MF,C64877
"H1, H2, H3, H4, H5, H6",MountingHole_2.7mm_M2.5,6,MountingHole,-
"J1, J2",R0603,2,0Ω,C15402
L1,IND-SMD_L7.0-W6.6,1,6.8uH,C167221
L2,IND-SMD_L10.4-W10.3,1,4.7uH,C44850
"P1, P2",CONN-TH_6P-P5.00_WJ126V-5.0-6P,2,CONN-TH-6P-P5.00,C8379
"Q1, Q2, Q3",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,3,MMBT5401,C7420356
Q4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,BSS138-7-F,C40912
"R1, R10, R11, R13, R14, R15, R17, R2, R20, R23, R29, R3, R33, R34, R4, R5, R6, R7, R9",R1206,19,10kΩ,C17902
"R12, R16, R18, R19, R21, R22, R24, R8",R1206,8,1kΩ,C4410
"R25, R26, R27, R28",R_Axial_L31.2mm_D1.0mm_P34.0mm_Horizontal,4,R,-
R30,RES-ADJ-TH_3P-L7.1-W6.9-P2.50-L_3362P,1,2kΩ,C118929
R31,R1206,1,820Ω,C17984
R32,R1206,1,0Ω,C19290
"R35, R37",R1206,2,93.1kΩ,C159448
R36,R1206,1,22kΩ,C25830
R38,R1206,1,27kΩ,C17943
R39,R1206,1,220kΩ,C130275
R40,R1206,1,41.2kΩ,C205379
R41,R1206,1,91kΩ,C17981
R42,R1206,1,30kΩ,C17999
R43,R1206,1,220Ω,C17957
RV1,RES-ADJ-TH_3362P,1,100kΩ,C118966
SW1,SW-SMD_L3.9-W3.0-P4.45,1,Btn,C720477
"U1, U3",HDR-TH_12P-P2.54-V-M-R2-C6-S2.54,2,Pin Header 2x6,C7501277
U10,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,LMV358IDR,C63813
"U11, U12",V-DFN3020-13-A_L3.0-W2.0-P0.45-BL-EP_AP6335X,2,AP63357DV-7,C2158014
U13,LED0603-RD,1,Red LED,C7496820
U2,WIFIM-SMD_ESP-12F-ESP8266MOD,1,ESP8266MOD,C82891
U4,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR,1,SN74LVC1G08DCKR,C7832
U5,WIRELM-SMD_32P-L15.5-W15.0-P1.00,1,RAK3172-9,C19723905
U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,SN74LVC1G32DBVR,C10096
U7,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,C37593
U8,2Pin_L11.0mm_D1.5mm_P17mm,1,Conn_01x02_Pin,-
U9,PEON_IR_INSULATION_v1,1,Opto Peon,-
