Designator,Mid X,Mid Y,Rotation,Layer
C1,256.08725,-105.442625,90.0,top
C10,166.76,-100.0925,90.0,top
C11,163.35,-104.55,270.0,top
C12,172.73,-90.87,180.0,top
C13,172.73,-106.12,180.0,top
C14,195.89,-84.6975,90.0,top
C15,190.91,-87.4175,0.0,top
C16,202.685868,-92.535828,180.0,top
C17,202.89,-73.77,180.0,top
C18,255.92,-63.11,0.0,top
C19,255.94,-60.16,0.0,top
C2,227.7,-71.949625,270.0,top
C20,243.80725,-90.20125,270.0,top
C21,241.16725,-90.30125,270.0,top
C22,254.52725,-92.84125,180.0,top
C23,248.91725,-92.86125,0.0,top
C3,224.88,-71.949625,270.0,top
C4,255.98,-21.67,180.0,top
C5,244.85,-23.26,270.0,top
C6,256.0,-24.47,0.0,top
C7,164.21,-95.21,180.0,top
C8,192.2925,-80.1575,180.0,top
C9,192.28,-77.6875,180.0,top
D1,215.092,-35.0,270.0,top
D2,248.31,-23.44,90.0,top
J1,216.28,-88.7265,90.0,top
J2,216.35,-92.4665,90.0,top
L1,172.73,-98.62,0.0,top
L2,203.57,-83.3575,180.0,top
P1,168.8695,-117.93,90.0,top
P2,203.7595,-118.08,90.0,top
Q1,190.19,-109.94,90.0,top
Q2,210.28,-110.2,90.0,top
Q3,200.39,-110.07,90.0,top
Q4,256.86,-38.23,0.0,top
R1,257.72,-68.82,90.0,top
R10,238.46725,-90.17125,90.0,top
R11,221.96,-101.89,180.0,top
R12,252.35725,-106.702625,0.0,top
R13,252.34725,-103.942625,180.0,top
R14,257.7,-73.86,90.0,top
R15,220.87,-70.459625,0.0,top
R16,187.73,-106.54,0.0,top
R17,191.71,-104.96,270.0,top
R18,187.67,-103.3,0.0,top
R19,206.33,-106.71,0.0,top
R2,222.05,-104.63,180.0,top
R20,210.53,-105.06,270.0,top
R21,206.28,-103.43,0.0,top
R22,196.98,-106.64,0.0,top
R23,201.01,-104.96,270.0,top
R24,196.95,-103.26,0.0,top
R25,176.0,-51.5,0.0,top
R26,176.0,-16.5,0.0,top
R27,186.5,-40.0,0.0,top
R28,186.5,-28.5,0.0,top
R29,255.819,-30.71,0.0,top
R3,222.08,-107.79,180.0,top
R30,238.92,-31.4,0.0,top
R31,251.54,-23.11,90.0,top
R32,256.139,-27.33,180.0,top
R33,255.84,-34.1,180.0,top
R34,252.8,-38.49,90.0,top
R35,159.97,-96.5,90.0,top
R36,157.38,-96.42,90.0,top
R37,187.02,-81.0075,90.0,top
R38,184.11,-81.1775,90.0,top
R39,160.76,-104.36,270.0,top
R4,247.91725,-106.46125,90.0,top
R40,159.48,-100.12,0.0,top
R41,190.99,-89.8975,0.0,top
R42,187.72,-84.8575,0.0,top
R43,222.73725,-98.26125,180.0,top
R5,215.2,-71.75,90.0,top
R6,249.09725,-95.77125,0.0,top
R7,249.25625,-111.25125,0.0,top
R8,247.76725,-101.10025,270.0,top
R9,254.43725,-95.70125,180.0,top
RV1,237.615034,-23.455034,90.0,top
SW1,255.43725,-110.57125,180.0,top
U1,225.79,-88.5,0.0,top
U10,247.98,-31.47,90.0,top
U11,163.73,-98.7375,270.0,top
U12,192.92,-83.2625,270.0,top
U13,222.83775,-95.186,180.0,top
U2,235.41725,-102.31625,90.0,top
U3,243.22,-59.97,0.0,top
U4,251.80725,-100.042625,270.0,top
U5,246.35,-74.09,0.0,top
U6,255.5,-100.14,90.0,top
U7,219.8,-73.92,180.0,top
U8,159.0,-34.015,90.0,top
U9,229.76,-16.62,0.0,top
